Name:	Student Card		Academic Card
***1	2093			8220
***2	2489			11528
***3	null			7036
***4	4023			11951
***5	2979			8900
***6	3369			6584
***7	null			14468
***8	4588			8957
***9	null			5323
**10	1319			5945
**11	4555			12432
**12	null			11696
**13	1666			7048
**14	4016			12599
**15	3478			9967
**16	null			11488
**17	3022			12021
**18	4681			6214
**19	1103			13240
**20	null			9422
**21	2320			6890
**22	2325			6844
**23	null			7076
**24	4076			11889
**25	4189			6055
**26	2067			6172
**27	3633			7897
**28	null			11610
**29	1198			9339
**30	null			8832
**31	4756			10528
**32	null			8102
**33	null			10242
**34	1131			10706
**35	2583			14888
**36	null			9313
**37	3320			14140
**38	2474			9927
**39	null			11476
**40	4824			5041
**41	null			11192
**42	2593			14808
**43	1685			8143
**44	4666			8406
**45	3842			10735
**46	4603			13231
**47	3459			9072
**48	2275			12619
**49	null			6829
**50	2829			5275
**51	null			11880
**52	4908			9305
**53	4703			14233
**54	2784			13231
**55	2137			14888
**56	null			5817
**57	null			6838
**58	2347			10413
**59	null			11968
**60	3754			11604
**61	2887			12659
**62	2665			14154
**63	null			11842
**64	1920			8457
**65	null			13469
**66	1852			13022
**67	4987			13717
**68	4502			13817
**69	null			13140
**70	null			14811
**71	null			13366
**72	4004			14339
**73	null			12202
**74	null			13832
**75	2417			8600
**76	null			9623
**77	null			9016
**78	2919			14473
**79	1899			7852
**80	null			14665
**81	3291			9499
**82	4998			6284
**83	null			7516
**84	4688			9540
**85	null			6203
**86	4099			8450
**87	4654			10929
**88	null			6697
**89	1321			13261
**90	2084			12055
**91	4469			13044
**92	null			6035
**93	1371			10286
**94	1547			5937
**95	null			6449
**96	1650			12759
**97	4595			8015
**98	null			8833
**99	3339			12408
*100	3220			7293
*101	1918			9761
*102	null			6841
*103	2203			6430
*104	3615			14069
*105	1675			5318
*106	2862			11227
*107	1895			9120
*108	2514			8825
*109	4873			11031
*110	4005			6649
*111	null			6855
*112	3486			14894
*113	1707			12563
*114	3794			5326
*115	2418			8919
*116	4003			8629
*117	1399			12052
*118	2185			13015
*119	null			14225
*120	1322			10196
*121	4506			13854
*122	3723			6304
*123	1134			14505
*124	1649			7564
*125	1636			6977
*126	3404			7847
*127	4584			8929
*128	null			6918
*129	3891			14526
